objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll011,coll011.pdf,,,Life of Audubon,Mrs. Horace St. John,1884,"""May 1 [1823]. Left Mr. Percy's on a visit to Jackson, Mississippi, which I found to be a mean place, a rendezvous for gamblers and vagabonds. Disgusted with the place and the people, I left it and returned to my wife""",Audubon,"Jackson, MS",32.297876,-90.183221,Life of Audubon,p. 94,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,coll012.pdf,,,Ornithological Biography,John James Audubon,1831,"""There is an extensive Swamp in the section of the State of Mississippi which lies partly in the Choctaw territory. It commences at the borders of the Mississippi, at no great distance from a Chicasaw village, situated near the mouth of a creek known by the name of Vanconnah, and partly inundated by the swellings of several large bayous, the principal of which, crossing the swamp in its whole extent, discharges its waters not far from the mouth of the Yazoo River. This famous bayou is called False River. The swamp of which I am speaking follows the windings of the Yazoo, until the latter branches off to the north-east, and at this point forms the stream named Cold Water River, below which the Yazoo receives the draining of another bayou inclining towards the north-west, and intersecting that known by the name of False River, at a short distance from the place where the latter receives the waters of the Mississippi. This tedious account of the situation of the Swamp, is given with the view of pointing it out to all students of nature who may chance to go that way, and whom I would earnestly urge to visit its interior, as it abounds in rare and interesting productions: birds, quadrupeds and reptiles, as well as molluscous animals, many of which I am persuaded have never been described.""",Audubon,Panther Swamp Wildlife Refuge,32.81267007,-90.58914185,Ornithological Biography,"v. 1, p. 205",text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,coll012.pdf,,,Ornithological Biography,John James Audubon,1831,"""I have so frequently spoken of the Mississippi, that an account of the progress of navigation on that extraordinary stream may be interesting even to the student of nature. I shall commence with the year 1808, at which time a great portion of the western country, and the banks of the Mississippi River, from above the city of Natchez particularly, were little more than a waste, or, to use words better suited to my feelings, remained in their natural state. To ascend the great stream against a powerful current, rendered still stronger whenever islands occurred, together with the thousands of sand-banks, as liable to changes and shiftings as the alluvial shores themselves, which at every deep curve or bend were seen giving way, as if crushed down by the weight of the great forests that everywhere reached to the very edge of the water, and falling and sinking in the muddy stream, by acres at a time, was an adventure of no small difficulty and risk, and which was rendered more so by the innumerable logs, called sawyers and planters, that everywhere raised their heads above the water, as if bidding defiance to all intruders. Few white inhabitants had yet marched towards its shores, and these few were of a class little able to assist the navigator. Here and there a solitary encampment of native Indians might be seen, but its inmates were as likely to prove foes as friends, having from their birth been made keenly sensible of the encroachments of the white men upon their lands.""",Audubon,"Natchez, MS",31.5604,-91.4032,Ornithological Biography,"v. 1, p. 130",text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,coll007.pdf,,,Vicissitudes in the Wilderness: Exemplified in the Journal of Peggy Dow,Peggy Dow and Lorenzo Dow,1833,"""After being confined on board of the boat for six weeks, we reached the mouth of Byopeare [sic], about twelve miles from Gibson Port, which was forty miles from Natchez. We left the boat, myself and the young man that was with me—took our things to a public house; but that was ten or twelve miles from the place that we wished to get. … We left our things at this public house, and I rode the horse, while he and the young man walked about twelve miles through the mud. This was about the twelfth of January. We stayed at Gibson Port that night.""",Dow,"Port Gibson, MS",31.955964,-90.982532,Vicissitudes in the Wilderness: Exemplified in the Journal of Peggy Dow,p. 43,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll015,coll015.pdf,,,History of Cosmopolite,Lorenzo Dow,1814,"""In my travels I went to the Natchez country, where I found religion low, and had hard times, but thought this country one day would be the garden of America. … Seth Miller set off with me for the Natchez early in the morning, as my appointment had been given out for some months.""",Dow,"Natchez, MS",31.5604,-91.4032,History of Cosmopolite,p. 226,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll016,coll015.pdf,,,History of Cosmopolite,Lorenzo Dow,1814,"“I spoke for the last time at Natchez. I visited Seltzer-town, Greenville, and Gibsonport.-- This last place was a wilderness not two years ago [1802], but now contains near thirty houses, with a courthouse and jail.”",Dow,"Natchez, MS",31.5604,-91.4032,History of Cosmopolite,p. 232,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll017,coll015.pdf,,,History of Cosmopolite,Lorenzo Dow,1814,"""I visited Washington and Natchez, and some of the adjacent parts.""",Dow,"Natchez, MS",31.5604,-91.4032,History of Cosmopolite,p. 231,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll018,coll015.pdf,,,History of Cosmopolite,Lorenzo Dow,1814,"""Crossed the ground, where I had the providential escape from the Indians, and arrived at Natchez.""",Dow,"Natchez, MS",31.5604,-91.4032,History of Cosmopolite,p. 232,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll019,coll015.pdf,,,History of Cosmopolite,Lorenzo Dow,1814,"""Three of my travelling companions fell in with me again, and accompanied me through the Choctaw nation, to the Natchez settlement, which we reached in six days and an half, being about eight hundred miles from Georgia. … The night after, I held meeting [sic] at the house of a baptist, then rode on towards the town of Natchez. … I held two or three meetings in the assembly-room, with the permission of the mayor, though with difficulty obtained. … I spoke at Pineridge meeting-house, and at Washington, Sulsertown [Seltzertown], and at Calender's meeting house, where some were offended. Here quarterly meeting was held. Thence I went to Wormsville, Biopeer [Bayou Pierre], and Bigblack, and preached the funeral sermon of a niece of the Rev. Tobias Gibson, and the Lord was with us. I left my horse with brother Gibson, and took a Spanish race horse, which he was to be responsible for, and I was to remit him the money by post, when it should be due on my arrival in Georgia in November. ... I set off alone, and rode the best part of twenty miles, when I saw a party of Indians within about a hundred feet of me: I was in hopes they would pass me, but in vain, for the first Indian seized my horse by the bridle, and the others surrounded me. At first, I thought it was a gone case with me, then I concluded to get off my horse and give up all, in order to save my life; but it turned in my mind, that if I do, I must return to the settlements, in order to get equipped for another start, and then it will be too late for my appointments. Again it turned in my mind, how when I was in Ireland, somebody would frequently be robbed or murdered one day, and I would travel the same way the day before or the day after, and yet was preserved and brought back in peace; and the same God is as able to preserve me here and deliver me now as then--immediately I felt the power of faith to put my confidence in God; at the same time I observed the Indians had ramrods in their muzzles of their guns as well as in their stock, so it would take some time to pull out the ramrods, and get the gun cocked and prepared up to their faces, ready to shoot; at this moment, my horse started and jumped sideways, which would have laid the Indian to the ground, who held the bridle, had it not slipped out of his hands; at the same time, the Indian on the other side, jumped seemingly like a streak to keep from under the horse's feet, so that there was a vacancy in the circle; at the same time, I gave my horse the switch, and leaned down in the saddle, so that if they shot I would give them as narrow a chance as I could to hit me, as I supposed they would wish to spare and get my horse. I did not look back until I had gone out of sight and hearing of the Indians.""",Dow,"Natchez, MS",31.5604,-91.4032,History of Cosmopolite,pp. 175-8,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll020,coll011.pdf,,,Life of Audubon,Mrs. Horace St. John,1884,"""On a clear frosty morning in December [1820],' writes Audubon in his journal, 'I arrived at Natchez, and found the levee lined with various sorts of boats full of western produce. ... The crowd was immense, and the market appeared to be a sort of fair. Scrambling up to the cliffs on which the city is built, I found flocks of vultures flying along the ground with outspread wings in the pursuit of food. Large pines and superb magnolias crowned the bluff, and their evergreen foliage showed with magnificent effect. I was delighted with the spectacle of white-headed eagles pursuing fishing-hawks, and surveyed the river scenery sparkling in bright sunlight with a new pleasure. Far away across the stream the shores were lost in the primitive forests, and a mysterious unknown seemed to lie beyond me.'""",Audubon,"Natchez, MS",31.5604,-91.4032,Life of Audubon,pp. 72-3,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll021,coll011.pdf,,,Life of Audubon,Mrs. Horace St. John,1884,"""I was impressed with the pretty houses of the upper town, built of painted brick or wood ; and to complete my feeling of enjoyment, my relative, Mr. Berthoud, gave me letters from my wife and sons, received by the weekly mail which then brought letters to Natchez from all parts of the Union. The town owned three thousand inhabitants ; was composed of an upper town and a lower town, the latter chiefly built up of beached flat-boats, converted into cabins by a rascally and nondescript population. The planters' houses in the upper town were models of luxury and comfort, but the church architecture prevalent rather detracted from the beauty of the place... The old Spanish fort was still visible in ruins, and a rumor reached me that many houses had been buried in the river by a slip of the bank... M. Garnier, who kept the largest hotel in the place, befriended me in many ways, and I also formed an acquaintance with M. Charles Carré, the son of a French nobleman of the old régime. ... From Carré I had a history of Natchez, as he had lived to witness the career of that town under the Spaniards, French, and Americans.”",,"Natchez, MS",31.5604,-91.4032,Life of Audubon,pp. 73-4,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll022,coll011.pdf,,,Life of Audubon,Mrs. Horace St. John,1884,"""On the 12th of October, 1820, Audubon left Cincinnati in company with Captain Cumming, an American engineer who had been appointed to make a survey of the Mississippi river, and after fourteen days of drifting down the Ohio, the flat-boat which contained the scientific 'expedition' reached the Mississippi river... From a letter addressed to the Governor of Arkansas at this date, it is evident that: Audubon had determined on a lengthened excursion in the pursuit of ornithological specimens, including the States of Mississippi, Alabama, and Florida, afterwards retracing his steps to New Orleans up the Red River, down the Arkansas, and homeward to his wife... He has determined in any case to complete one hundred drawings of birds before returning to Cincinnati, and he fulfilled this resolve.""",,"Cincinnati, OH",39.104064,-84.520346,Life of Audubon,p. 72,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll023,coll023.jpg,,,Rodney Catholic Church,Unknown,,"From the M. James Stevens Collection. A black and white photograph of the outside of Rodney Catholic Church in Rodney, Mississippi.",,"Rodney, MS",,,University of Southern Mississippi,AM89-46 M. James Stevens Collection,image,image/jpg,eng,Public domain,http://rightsstatements.org/page/NKC/1.0/
coll024,coll024.jpg,,,Dionysos,,,,,,,,,,image,image/jpg,eng,Public domain,http://rightsstatements.org/page/NKC/1.0/
coll025,coll025.jpg,,,Burr and Hamilton duel,,,,,,,,,,image,image/jpg,eng,Public domain,http://rightsstatements.org/page/NKC/1.0/
coll026,coll026.jpg,,,Harpe Brothers,,,,,,,,,,image,image/jpg,eng,Public domain,http://rightsstatements.org/page/NKC/1.0/
coll027,coll027.jpg,,,Murrell,,,,,,,,,,image,image/jpg,eng,Public domain,http://rightsstatements.org/page/NKC/1.0/
coll028,coll016.jpg,,,Natchez Trace,,,,,,,,,,image,image/jpg,eng,Public domain,http://rightsstatements.org/page/NKC/1.0/
coll029,,,,,,,,,,,,,,,,,,
coll030,,,,,,,,,,,,,,,,,,
coll031,,,,,,,,,,,,,,,,,,
coll032,,,,,,,,,,,,,,,,,,
coll033,,,,,,,,,,,,,,,,,,
coll034,,,,,,,,,,,,,,,,,,
coll035,,,,,,,,,,,,,,,,,,
coll036,,,,,,,,,,,,,,,,,,
coll037,,,,,,,,,,,,,,,,,,
coll038,,,,,,,,,,,,,,,,,,
coll039,,,,,,,,,,,,,,,,,,
coll040,,,,,,,,,,,,,,,,,,
coll041,,,,,,,,,,,,,,,,,,
